athlete_id,name,birth_year,birth_city,birth_state,height,weight,sport_clean,is_paralympic
95784,"Frank Nelson, Jr.",1910,New York,NY,,,Ice Hockey,False
97648,Gordon Smith,1908,Winchester,MA,,71 kg,Ice Hockey,False
900852,Romeo Proulx,1902,Tupper Lake,NY,,,Ice Hockey,False
900853,Warren Percival,1904,Berlin,NH,,,Ice Hockey,False
98768,Stan Wagner,1908,Pueblo,CO,,,Ice Hockey,False
85478,Lloyd Ellingson,1908,Colfax,WI,,,Nordic Combined,False
1005158,James Harsh,1909,Molina,CO,178 cm,70 kg,Nordic Combined,False
97785,John Steele,1909,Minneapolis,MN,183 cm,79 kg,Ski Jumping,False
97475,Jack Shea,1910,Lake Placid,NY,,,Speed Skating,False
95653,Ray Murray,1910,New York,NY,,,Speed Skating,False
96552,Allan Potts,1904,Brooklyn,NY,,,Speed Skating,False
