hometown_id,city_name,state_code,latitude,longitude,state_latitude,state_longitude,total_athletes,ht_name,region,elevation,distance_to_west_coast_km,distance_to_east_coast_km,distance_to_nearest_coast_km,climate_zone
HT_OK_Oklahoma_City,Oklahoma City,OK,35.4729886,-97.5170536,35.5653,-96.9289,1,"Oklahoma City, OK",South,378.0,2235.3993921846554,2135.535847241125,664.7401502763037,Subtropical
HT_MD_Olney,Olney,MD,39.1532123,-77.0668408,39.0639,-76.8021,1,"Olney, MD",South,163.0,3919.4635985735017,313.7166750923829,313.7166750923829,Subtropical
HT_NE_Omaha,Omaha,NE,41.2587459,-95.9383758,41.4925,-99.9018,2,"Omaha, NE",Midwest,331.0,2300.547703451661,1841.7721430067957,1276.7884826120699,Temperate
HT_OR_Ontario,Ontario,OR,44.0265525,-116.9629378,43.8041,-120.5542,1,"Ontario, OR",West,655.0,832.2448741164635,3517.2205194470343,576.3036864676451,Temperate
HT_CA_Orange,Orange,CA,33.750631,-117.8722311,36.1162,-119.6816,1,"Orange, CA",West,44.0,606.8454733686312,3926.8097667991983,606.8454733686312,Tropical/Subtropical
HT_FL_Orange_Park,Orange Park,FL,30.1654707,-81.7016346,27.9947,-81.7603,1,"Orange Park, FL",South,13.0,3825.113676157968,1361.5936056089727,1319.2555973820733,Tropical/Subtropical
HT_NE_Ord,Ord,NE,41.6033379,-98.9262134,41.4925,-99.9018,1,"Ord, NE",Midwest,628.0,2052.767394122592,2086.713939614372,1352.5373520415526,Temperate
HT_FL_Orlando,Orlando,FL,28.5421218,-81.379045,27.9947,-81.7603,2,"Orlando, FL",South,46.0,3929.306204409193,1508.5262374119466,1367.0839147266827,Tropical/Subtropical
HT_MT_Overland,Overland,MT,45.7503046,-108.5714967,47.0527,-109.6333,1,"Overland, MT",West,971.0,1449.3524774441473,2839.9340023682644,1071.3505049943828,Cold Temperate
HT_KS_Overland_Park,Overland Park,KS,38.9742502,-94.6851702,38.5266,-96.7265,1,"Overland Park, KS",Midwest,327.0,2417.8217128827514,1776.236653724353,1024.0199505741275,Subtropical
HT_NY_Ozone_Park,Ozone Park,NY,40.67677,-73.8437461,42.1657,-74.9481,1,"Ozone Park, NY",Northeast,12.0,4153.386901116425,14.285772752474061,14.285772752474061,Temperate
HT_FL_Palm_Bay,Palm Bay,FL,27.9946969,-80.6366144,27.9947,-81.7603,1,"Palm Bay, FL",South,12.0,4021.4761620312815,1535.816915227951,1449.5086955107342,Tropical/Subtropical
HT_AK_Palmer,Palmer,AK,61.5995703,-149.11109,64.0685,-152.2782,2,"Palmer, AK",Alaska/Hawaii,2.0,3226.9427073262273,5374.391833012859,2298.192122547481,Cold Temperate
HT_CA_Palo_Alto,Palo Alto,CA,37.4443293,-122.1598465,36.1162,-119.6816,1,"Palo Alto, CA",West,19.0,43.25906545741545,4130.34205910789,43.25906545741545,Subtropical
HT_IL_Palos_Hills,Palos Hills,IL,41.6966397,-87.816924,40.3495,-88.9861,1,"Palos Hills, IL",Midwest,185.0,2977.6207662147353,1162.2614461311473,1162.2614461311473,Temperate
HT_UT_Park_City,Park City,UT,40.6460921,-111.4979963,39.321,-111.0937,4,"Park City, UT",West,2138.0,994.8528572343364,3145.063266793279,994.8528572343364,Montane
HT_MN_Park_Rapids,Park Rapids,MN,46.9221813,-95.0586322,45.6945,-93.9196,1,"Park Rapids, MN",Midwest,438.0,2456.204512252708,1821.6864437013944,1821.6864437013944,Cold Temperate
HT_OH_Parma,Parma,OH,41.3822398,-81.7355692,40.3888,-82.7649,1,"Parma, OH",Midwest,283.0,3486.069933391162,653.87675875866,653.87675875866,Temperate
HT_CA_Patterson,Patterson,CA,37.471623,-121.1296949,36.1162,-119.6816,1,"Patterson, CA",West,31.0,118.72534568651348,4043.7994092801323,118.72534568651348,Subtropical
HT_GA_Peachtree_City,Peachtree City,GA,33.3975472,-84.5898256,33.0406,-83.6431,1,"Peachtree City, GA",South,267.0,3439.2347332247136,1241.4252934370418,1099.1369453787954,Tropical/Subtropical
HT_FL_Pembroke_Pines,Pembroke Pines,FL,26.0061943,-80.2872086,27.9947,-81.7603,1,"Pembroke Pines, FL",South,5.0,4154.734237276221,1731.4748109246593,1540.9387520404975,Tropical/Subtropical
HT_NJ_Pennington,Pennington,NJ,40.3281213,-74.7909992,40.2206,-74.7597,1,"Pennington, NJ",Northeast,69.0,4082.7293174872693,79.05598348686935,79.05598348686935,Temperate
HT_FL_Pensacola,Pensacola,FL,30.421309,-87.2169149,27.9947,-81.7603,1,"Pensacola, FL",South,26.0,3328.1212965316563,1651.116167484482,789.156593624658,Tropical/Subtropical
HT_TX_Perryton,Perryton,TX,36.3910229,-100.8059035,31.9686,-99.9018,1,"Perryton, TX",South,900.0,1923.5968675790903,2375.112973965373,893.1480122334381,Subtropical
HT_AZ_Pheonix,Pheonix,AZ,42.6294733,-71.2797933,33.7298,-111.4312,2,"Pheonix, AZ",West,43.0,4320.845490038778,311.1887079318343,311.1887079318343,Temperate
HT_PA_Philadelphia,Philadelphia,PA,39.9527237,-75.1635262,40.5908,-77.2098,2,"Philadelphia, PA",Northeast,46.0,4060.3492668389695,129.60795044006625,129.60795044006625,Subtropical
HT_AZ_Phoenix,Phoenix,AZ,33.4484367,-112.074141,33.7298,-111.4312,1,"Phoenix, AZ",West,351.0,1052.1984783768996,3450.949832323134,1052.1984783768996,Tropical/Subtropical
HT_MN_Pine_City,Pine City,MN,45.8260672,-92.9685423,45.6945,-93.9196,1,"Pine City, MN",Midwest,285.0,2588.0034744271543,1636.0466156617608,1636.0466156617608,Cold Temperate
HT_NJ_Piscataway,Piscataway,NJ,40.5464326,-74.4660542,40.2206,-74.7597,1,"Piscataway, NJ",Northeast,22.0,4104.7752237338145,43.08447526271092,43.08447526271092,Temperate
HT_PA_Pittsburgh,Pittsburgh,PA,40.4406968,-80.0025666,40.5908,-77.2098,1,"Pittsburgh, PA",Northeast,241.0,3645.4989527985417,508.5346379526633,508.5346379526633,Temperate
HT_VT_Pittsfield,Pittsfield,VT,43.7730063,-72.8131838,44.0459,-72.7107,1,"Pittsfield, VT",Northeast,287.0,4177.001581493182,353.8796162232356,353.8796162232356,Temperate
HT_FL_Plant_City,Plant City,FL,28.01633,-82.1234803,27.9947,-81.7603,1,"Plant City, FL",South,45.0,3889.662965992403,1592.3093980295669,1305.7093441675909,Tropical/Subtropical
HT_TX_Port_Arthur,Port Arthur,TX,29.8716577,-93.9332302,31.9686,-99.9018,1,"Port Arthur, TX",South,6.0,2766.2013118738173,2167.156765219876,139.40986428244665,Tropical/Subtropical
HT_NY_Port_Chester,Port Chester,NY,41.0017643,-73.6656834,42.1657,-74.9481,1,"Port Chester, NY",Northeast,16.0,4160.813520099124,43.047775305605036,43.047775305605036,Temperate
HT_OR_Portland,Portland,OR,45.5202471,-122.674194,43.8041,-120.5542,6,"Portland, OR",West,20.0,860.5102945229171,3935.5053998486305,233.35743029528518,Cold Temperate
HT_NY_Poughkeepsie,Poughkeepsie,NY,41.7065539,-73.9283672,42.1657,-74.9481,1,"Poughkeepsie, NY",Northeast,55.0,4124.35320126011,110.55615950029095,110.55615950029095,Temperate
HT_NY_Pound_Ridge,Pound Ridge,NY,41.2087066,-73.5748483,42.1657,-74.9481,1,"Pound Ridge, NY",Northeast,203.0,4163.766696350207,65.95705545062359,65.95705545062359,Temperate
HT_CA_Poway,Poway,CA,32.9628234,-117.035864,36.1162,-119.6816,1,"Poway, CA",West,158.0,723.8626095620507,3892.9497503962266,723.8626095620507,Tropical/Subtropical
HT_WI_Prairie_du_Chien,Prairie du Chien,WI,43.05194,-91.1409933,44.2685,-89.6165,1,"Prairie du Chien, WI",Midwest,198.0,2702.031158023694,1443.1277083131122,1443.1277083131122,Temperate
HT_AZ_Prescott_Valley,Prescott Valley,AZ,34.5950776,-112.3338634,33.7298,-111.4312,1,"Prescott Valley, AZ",West,1560.0,972.7553912803448,3421.5494873323455,972.7553912803448,Montane
HT_KY_Prospect,Prospect,KY,38.3459615,-85.6046048,37.6681,-84.6701,1,"Prospect, KY",South,178.0,3209.832947094088,1030.3798608987215,1030.3798608987215,Subtropical
HT_VT_Putney,Putney,VT,42.9751766,-72.5215973,44.0459,-72.7107,1,"Putney, VT",Northeast,116.0,4214.117669384152,279.883598364789,279.883598364789,Temperate
HT_WA_Quincy,Quincy,WA,47.2343673,-119.8535054,47.4009,-121.4905,1,"Quincy, WA",West,396.0,1071.576332133499,3694.2969154126513,191.5337964868701,Cold Temperate
HT_NC_Raeford,Raeford,NC,34.9809996,-79.2241998,35.6301,-79.8064,1,"Raeford, NC",South,82.0,3854.0034551368863,784.3020893029725,784.3020893029725,Tropical/Subtropical
HT_NC_Raleigh,Raleigh,NC,35.7803977,-78.6390989,35.6301,-79.8064,4,"Raleigh, NC",South,113.0,3878.7541960669096,681.1174286227696,681.1174286227696,Subtropical
HT_CA_Rancho_Cucamonga,Rancho Cucamonga,CA,34.1033192,-117.575173,36.1162,-119.6816,2,"Rancho Cucamonga, CA",West,365.0,597.3473923689563,3885.7378802165467,597.3473923689563,Tropical/Subtropical
HT_NJ_Randolph,Randolph,NJ,40.844265,-74.5857218,40.2206,-74.7597,1,"Randolph, NJ",Northeast,304.0,4088.28168334207,51.068977056269226,51.068977056269226,Temperate
HT_ID_Rathdrum,Rathdrum,ID,47.8111504,-116.896931,44.0682,-114.742,1,"Rathdrum, ID",West,673.0,1202.178403129047,3467.365977447651,408.4311044545435,Cold Temperate
HT_OH_Ravenna,Ravenna,OH,41.157557,-81.242047,40.3888,-82.7649,1,"Ravenna, OH",Midwest,346.0,3530.272957395342,611.2220884166991,611.2220884166991,Temperate
HT_PA_Reading,Reading,PA,40.335345,-75.9279495,40.5908,-77.2098,1,"Reading, PA",Northeast,78.0,3987.9205744094797,168.16420734786846,168.16420734786846,Temperate
